"27      36      Wed        26-Apr-23         7:30 PM          Royal Challengers Bangalore          Kolkata Knight Riders                   Bengaluru"
"28      37      Thu        27-Apr-23         7:30 PM          Rajasthan Royals                     Chennai Super Kings                     Jaipur"
""
""
""
""
"Please note that this schedule may be subject to change for any reason as may be required in the sole discretion of BCCI"
"                       2023 SEASON SCHEDULE"
"IPLT20.COM"
"MATCH   MATCH"
"DAY        DATE              TIME             HOME TEAM                            AWAY TEAM                               VENUE"
"DAY     NO."
""
"29      38      Fri        28-Apr-23         7:30 PM          Punjab Kings                         Lucknow Super Giants                    Mohali"
"30      39      Sat        29-Apr-23         3:30 PM          Kolkata Knight Riders                Gujarat Titans                          Kolkata"
"30      40      Sat        29-Apr-23         7:30 PM          Delhi Capitals                       S unrisers Hyderabad                    Delhi"
"31      41      Sun        30-Apr-23         3:30 PM          Chennai Super Kings                  Punjab Kings                            Chennai"
"31      42      Sun        30-Apr-23         7:30 PM          Mumbai Indians                       Rajasthan Royals                        Mumbai"
"32      43      Mon        01-May-23         7:30 PM          Lucknow Super Giants                 Royal Challengers Bangalore             Lucknow"
"33      44      Tue        02-May-23         7:30 PM          Gujarat Titans                       Delhi Capitals                          Ahmedabad"
"34      45      Wed        03-May-23         3:30 PM          Lucknow Super Giants                 Chennai Super Kings                     Lucknow"
"34      46      Thu        03-May-23         7:30 PM          Punjab Kings                         Mumbai Indians                          Mohali"
"35      47      Thu       04-May-23          7:30 PM          Sunrisers Hyderabad                  Kolkata Knight Riders                   Hyderabad"
"36      48      Fri       05-May-23          7:30 PM          Rajasthan Royals                     Gujarat Titans                          Jaipur"
"37      49      Sat       06-May-23          3:30 PM          Chennai Super Kings                  Mumbai Indians                          Chennai"
"37      50      Sat       06-May-23          7:30 PM          Delhi Capitals                       Royal Challengers Bangalore             Delhi"
"38      51      Sun       07-May-23          3:30 PM          Gujarat Titans                       Lucknow Super Giants                    Ahmedabad"
"38      52      Sun       07-May-23          7:30 PM          Rajasthan Royals                     Sunrisers Hyderabad                     Jaipur"
"39      53      Mon       08-May-23          7:30 PM          Kolkata Knight Riders                Punjab Kings                            Kolkata"
"40      54      Tue       09-May-23          7:30 PM          Mumbai Indians                       Royal Challengers Bangalore             Mumbai"
"41      55      Wed       10-May-23          7:30 PM          Chennai Super Kings                  Delhi Capitals                          Chennai"
"42      56      Thu        11-May-23         7:30 PM          Kolkata Knight Riders                Rajasthan Royals                        Kolkata"
"43      57      Fri        12-May-23         7:30 PM          Mumbai Indians                       Gujarat Titans                          Mumbai"
"44      58      Sat        13-May-23         3:30 PM          Sunrisers Hyderabad                  Lucknow Super Giants                    Hyderabad"
"44      59      Sat        13-May-23         7:30 PM          Delhi Capitals                       Punjab Kings                            Delhi"
"45      60      Sun        14-May-23         3:30 PM          Rajasthan Royals                     Royal Challengers Bangalore             Jaipur"
"45      61      Sun        14-May-23         7:30 PM          Chennai Super Kings                  Kolkata Knight Riders                   Chennai"
"46      62      Mon        15-May-23         7:30 PM          Gujarat Titans                       Sunrisers Hyderabad                     Ahmedabad"
"47      63      Tue        16-May-23         7:30 PM          Lucknow Super Giants                 Mumbai Indians                          Lucknow"
"48      64      Wed        17-May-23         7:30 PM          Punjab Kings                         Delhi Capitals                          Dharamshala"
"49      65      Thu        18-May-23         7:30 PM          Sunrisers Hyderabad                  Royal Challengers Bangalore             Hyderabad"
"50      66      Fri        19-May-23         7:30 PM          Punjab Kings                         Rajasthan Royals                        Dharamshala"
"51      67      Sat        20-May-23         3:30 PM          Delhi Capitals                       Chennai Super Kings                     Delhi"
"51      68      Sat       20-May-23          7:30 PM          Kolkata Knight Riders                Lucknow Super Giants                    Kolkata"
"52      69      Sun       21-May-23          3:30 PM          Mumbai Indians                       Sunrisers Hyderabad                     Mumbai"
"52      70      S un      21-May-23          7:30 PM          Royal Challengers Bangalore          Gujarat Titans                          Bengaluru"
"53      71      Tue        23-May-23         7:30 PM          Qualifier 1 - Team 1 vs Team 2                                               Chennai"
"54      72      Wed        24-May-23         7:30 PM          Eliminator - Team 3 vs Team 4                                                Chennai"
"55      73      Fri        26-May-23         7:30 PM          Qualifier 2 - Winner of Eliminator vs Loser of Qualifier 1                   Ahmedabad"
"56      74      Sun        28-May-23         7:30 PM          TATA IPL 2023 Final - Winner of Qualifier 1 vs. Winner of Qualifier 2        Ahmedabad"
""
""
""
""
"Please note that this schedule may be subject to change for any reason as may be required in the sole discretion of BCCI"
""
